Date,Text
2022-03-18,"See link below: Kenya ratifies fishing vessel and crew safety treaties. Amb Manoah Isipisu High Commissioner in London and Permanent Representative to IMO deposited the Instrument.

https://t.co/UNAOpSOlDy"
2022-03-17,The two Ministers hailed the cordial and long historical bilateral relations underpinned by common values and strong people- to- people links dating back many years since the establishment of diplomatic relations in 1982.
2022-03-17,"Earlier, the Cabinet Secretary Amb Raychelle Omamo together with the Minister for Foreign Affairs, Mrs. Retno Lestari Marsudi, held extensive consultations during the Inaugural Session of the Kenya-Indonesia Joint Bilateral Consultations."
2022-03-17,CS Amb Raychelle Omamo also conveyed warm greetings and best wishes from H.E President Uhuru Kenyatta to H.E Joko Widodo President of the Republic of Indonesia.
2022-03-17,Cabinet Secretary Amb Raychelle Omamo today paid a courtesy call on H.E the Vice President of Indonesia H.E Prof. Dr Mairuf Amin at his official residence. The VP said Indonesia considers Kenya as an important partner in Eastern Africa.
2022-03-17,The new mission in Jarkata is expected to bring consular services closer for all Kenyans resident in Indonesia and help the two countries to reinvigorate bilateral relations and add momentum in bilateral collaborations.
2022-03-17,3/3 The Omani Minister reiterated the need to create seemless linkages between Salalah Port and Mombasa Port especially with the renewed Kenya - Oman export of livestock after the 16 year ban
2022-03-17,2/3  CS Omamo underscored the significance of Kenya Vision 2030 and Omani Vision 2040 as economic blueprints of both countries which have placed food security as a top agenda.
2022-03-17,"1/2 CS Amb. Raychelle Omamo held a bilateral meeting with  H.E. Saeed bin Muhammad bin Ahmed al Saqri, Minister for Economy in Oman. Discussions focused on ways of reinvigorating friendship post Covid-19 by creating more trade awareness to Kenyan business community."
2022-03-17,The opening of Kenyas Mission in Jarkata is an important momentum that marks an incredible milestone in the bilateral relations of the two  countries since the establishment of diplomatic relations in 1982.
2022-03-17,CS Amb Raychelle Omamo and Her Excellency Retno L.P Marsudi Foreign Minister of Indonesia today officially opened the Kenyan Embassy in Jarkata Indonesia. The  event was witnessed by African group of Ambassadors led by the Dean H.E Ouadia Benabdellah Amb of Morrocco to Jarkata.
2022-03-17,2/2  ... and 2040 for Kenya and Oman respectively. They observed the imperative need to diversify market access of both countries. CS Omamo rooted for Oman investors to take advantage of the investment opportunities offered by the Kenya Government under the Big Four Agenda
2022-03-17,"1/2  CS Amb. Raychelle Omamo met with the Minister for Agriculture, Fisheries Wealth and Water Resources of Oman, H.E. Dr. Saud bin Ahmed Al Habsi. They noted the huge potential that exists in the food security sector of the two countries as envisioned in the
vision 2030 ..."
2022-03-16,"CS @ForeignOfficeKE
Amb. Raychelle Omamo met with the Omani Women’s Association where she underscored the role of women in leadership and transformation of economies especially during this critical period of post Covid-19 pandemic recovery."
2022-03-16,"During the Official Visit to the Sultanate of Oman, CS Amb. Raychelle Omamo visited the Kenya Embassy in Muscat. She thanked the staff for their hard work in strengthening the fraternal relations and increasing the quantum of business between Kenya and Oman. @KenEmbMuscat"
2022-03-15,"2/2  They observed the need to strengthen relations between the national museums of the two countries to preserve Oman heritage in Kenya, develop tourism packages and hold mutual exhibitions to exhibit tangible and non-tangible products both in Nairobi and Oman."
2022-03-15,1/2 CS@ForeignOfficeKE met with the Minister for Heritage and Tourism H.E. Salim Bin Mohamed Al-Mahrouqi. They explored key areas of partnership in tourism business and hospitality sector and underscored the significance of strengthening collaboration in Regional and Int'l bodies
2022-03-15,2/2 ... as well as the expansion of the recently opened market access for livestock imports from Kenya.  The two Ministers agreed to explore possibilities of cooperation and ensure progress is achieved in trade and investment.
2022-03-15,"1/2  CS Amb. Raychelle Omamo met with the Minister for Trade, Industry &amp; Investment of Oman, H.E. Qais Al Yousef.  They  underscored Kenya’s readiness to work with Oman to improve Market Access of Kenya’s Agricultural fresh produce,  flowers, tea, coffee, fruits  ..."
2022-03-15,"2/2 They welcomed the initiative by the two governments towards the initiation of a Kenya-Oman Joint Trade Cooperation following successful Kenya-Gulf Cooperation Council Business Forum in Dubai held from February 14-18, 2022 on the sidelines of the Dubai 2020 Expo"
2022-03-15,"1/3 CS @ForeignOfficeKE Amb. Raychelle Omamo held extensive consultations with her host the Foreign Minister  of the Sultanate of Oman
H.E. Sayyid Badr Albusaidi.
The meeting focused on reinvigorating the strong bilateral relations that exists between Kenya and Oman"
2022-03-13,3/3 The Foreign Ministers also launched the first session of the Kenya - Saudi Arabia Joint Commission for Cooperation and emphasized the significance of this inaugural session as the commencement of a new era of meaningful high-level engagements.
2022-03-13,2/3 The two Ministers signed a Memorandum of Understanding between the Ministry of Foreign Affairs of the Republic of Kenya and the Ministry of Foreign Affairs of the Kingdom of Saudi Arabia on Political Consultations aimed at strengthening the existing friendly relations.
2022-03-13,1/3 CS Amb. Raychelle Omamo held bilateral talks with her Saudi Arabian counterpart His Highness Prince Faisal bin Farhan Al Saud in Riyadh today. Discussions focused on bilateral issues of mutual benefits between Kenya and Saudi Arabia.
2022-03-13,"CS Amb. Raychelle Omamo paid a courtesy call on H.E. Dr. Majid Bin Abdullah Alkassabi, Minister of Commerce &amp; Investment of the Kingdom of Saudi Arabia. They discussed ways of strengthening bilateral relations, enhancing trade &amp; investments &amp; other potential areas of cooperation."
2022-03-13,"Amb. Raychelle Omamo, CS @ForeignOfficeKE held a bilateral meeting with Dr. Abdullah Nasser Abuthnain, Vice Minister of Human Resource and Social Development for Labour in Riyadh.  Discussions focused on labour and consular matters between Kenya and Saudi Arabia."
2022-03-12,"CS Amb Raychelle Omamo met with the members of staff at Kenya Embassy in Riyadh led by Amb. Peter N. R. O.  Ogego. In attendance was Amb. Galma Boru, Director General, Bilateral and Political Affairs and Amb. Arthur Andambi, Director Middle East Directorate.
@KenyaRiyadh"
2022-03-12,2/2 The Cabinet Secretary is in Riyadh for the Kenya - Saudi Arabia Joint Commission for Cooperation (JCC) with her Saudi Arabian counterpart.
2022-03-12,"1/2 CS Amb. Raychelle Omamo arrived at the Khalid Int'l Airport Saudi Arabia today. She was received by the Chief of Protocol, Ministry of Foreign Affairs, Kenya's Ambassador to Saudi Arabia Amb. Peter N. R. O. Ogego and Ambassador of Saudi Arabia to Kenya Amb. Khalid Al-Salmani"
2022-03-10,H.E. Dmitry Maksimychev Ambassador of the Russian Federation to the Republic of Kenya paid a courtesy call on Foreign Affairs P.S Amb. Macharia Kamau.  They discussed matters of mutual interest between the two countries.
2022-03-10,Foreign Affairs C.S Amb. Raychelle Omamo has this afternoon bid farewell to the visiting Zimbabwe President H.E President  Emmerson Mnangagwa at #JKIA after a three- day State Visit to Kenya. Escort of honor CS Eugene Wamalwa and Amb George Orina Director Africa were present.
2022-03-10,Ms. Fathiaa Abdallah UNHCR Rep. in Kenya today bid farewell to Foreign Affairs C.S Amb. Raychelle Omamo as she concluded her term in office. Amb Omamo appreciated her good work in improving the life of refugees and her leadership that enabled good collaboration with Kenya Gov't.
2022-03-09,"@ForeignOfficeKE DG-Bilateral Amb Galma Boru represented the Ministry at the launch of Regional United Nations Office of Counterterrorism. Interior CS, Dr. Fred Matiangi said the region will benefit from targeted and cost -effective support in curbing violent extremist ideologies"
2022-03-09,2/2  In attendance were Kenya's Ambassador to Saudi Arabia Amb. Peter N. R. O. Ogego and Saudi Arabia Ambassador to Kenya Amb. Khalid bin Abdullah Al-Salman
2022-03-09,"1/2 Amb. Arthur Andambi, Director Middle East led the Kenyan delegation during the opening session of Saudi Arabia-Kenya Joint Commission for Cooperation in Riyadh with his counterpart Amb. Mohammed Madani Director African Dept, Ministry of Foreign Affairs Kingdom of Saudi Arabia"
2022-03-08,"Others in the delegation were Ms. Annika Hilding NORBERG, Head of Peace Operations and Peacebuilding; Lt. Gen (Ret) Dr. Dennis GYLLENSPORRE, Associate Fellow at the @TheGCSP; and Ms. Natascha HRYCKOW also an Associate Fellow at the @TheGCSP"
2022-03-08,"The delegation, including the Swiss Ambassador to Kenya, Amb. Valentin ZELLWEGER, discussed matters of peace and security collaboration, particularly in the context on the #UNSC. Switzerland is seeking a non-permanent seat in 2023–24."
2022-03-08,"Principal Secretary for Foreign Affairs, Amb. Macharia Kamau,today met with a delegation from the Geneva Centre for Security Policy (@TheGCSP) who called on  him to discuss and take stock on regional peace and security affairs."
2022-03-08,Others present in receiving H.E Mnangagwa was a delegation from Zimbabwe led by Foreign Minister of Zimbabwe Hon. Amb. Fredrick Shava. The team has been in Kenya for the 3rd session of the Joint Permanent Commission for Cooperation (JPCC) concluded today.
2022-03-08,"H.E Dr. Emmerson Mnangangwa, President of the Republic of  Zimbabwe, has  arrived in Nairobi for a three-day State visit. He was received at #JKIA by Foreign Affairs Cabinet Secretary Amb Raychelle Omamo, CS Eugene Wamalwa, Amb Stella Munyi HC to Zimbabwe and Amb George Orina."
2022-03-08,"The JPCC laid a strong foundation for the State visit to  Kenya by H.E Dr. Emmerson Mnangangwa, President of Zimbabwe, who arrives in Nairobi today for a three day State visit. A number of MOUs will be signed during the visit."
2022-03-08,"During the ministerial meeting, Agreed Minutes were signed which hold great promise for cooperation in various sectors, opportunity to strenghten bilateral ties and leverage the potential for bilateral trade, investment, tourism among other areas."
2022-03-08,"The 3rd session of the Kenya- Zimbabwe Joint Permanent Commission for Cooperation (JPCC) was held today co-chaired by CS Amb Raychelle Omamo of the Republic of Kenya and Dr Amb. Frererick Shava, Foreign Minister of the Republic of Zimbabwe."
2022-03-07,"Foreign Affairs P.S Amb Macharia Kamau thanked the participants for the enthusiasm and commitment exhibited during the deliberations, noting the great potential to deepen relations and cooperation between the two countries."
2022-03-07,The Kenya- Zimbabwe Joint Permanent Commission of Cooperation (JPCC) Senior Officials Meeting (SOM) has come to a close this evening with 7 instruments of cooperation concluded and recommended for adoption during the Ministerial segment scheduled for tomorrow.
2022-03-07,"Foreign Affairs CS Amb. Raychelle Omamo today hosted a luncheon in honour of Hon.Fredrick M. Shava, Minister of Foreign Affairs and International Trade of the Republic of Zimbabwe. Hon Shava is leading a delegation to discuss areas of further cooperation between the two countries"
2022-03-07,"Foreign Affairs CS Amb. Raychelle Omamo today met with  Hon. Fredrick M. Shava, Minister of Foreign Affairs and International Trade of the Republic of Zimbabwe.  The two leaders discussed ways of strengthening bilateral relations and identified areas of further cooperation."
2022-03-06,"Amb Tabu Irina and her Embassy staff in Japan, hosted at the Mission, Team Kenya led by Eliud Kipchoge and Brigid Kosgei to celebrated their win and appreciated their teamwork. The event was attended by the chairman of the Kenyan’s in Japan Association."
