Date,Text
2022-04-07,"H.E. Mr. Okaniwa Ken, Amb. of Japan to Kenya paid a maiden courtesy visit on Amb. Raychelle Omamo, Cabinet Secretary for Foreign Affairs. The CS appreciated Japan’s steadfast support to Kenya’s national development agenda in key infrastructure projects; energy, agriculture..."
2022-04-07,"C.S Amb.Raychelle Omamo met with H.E Christophe Lutundula, Deputy Prime Minister and Minister for Foreign Affairs of the Democratic Republic of Congo. The CS congratulated DRC for joining East Africa Community and promised Kenya's cooperation in Bilateral and Multilateral issues"
2022-04-07,"The CS expressed optimism regarding the Africa CDC office established in Kenya and was confident that it would be able to deliver on its mandate. They agreed to work together on environmental issues, climate change, peace and security, and other areas of mutual interest."
2022-04-07,Amb Omamo welcomed Dr. Monique and commended the cordial multilateral relations between Kenya and the African Union as well as the AU’s support to the peace processes in the region.
2022-04-07,"C.S Amb. Raychelle Omamo met with H.E Dr. Monique Nsanzabaganwa, Deputy Chairperson of @_Africanunion officially visiting Kenya. Dr Monique appreciated Kenya’s tangible contribution to AU notably on Peace and Security agenda, financial support and hosting of the AU field offices"
2022-04-05,"2/ Discussions focused on the preparedness of the @StockholmPlus50 Int'l Meeting scheduled for 2 to 3 June 2022 in Sweden to be co-hosted by Kenya and Sweden.
Amb. Diana Kiambuthi Kenya's Ambassador to Sweden and Amb. Isaiya Kabira Director General MFA were in attendance. @UNEP"
2022-04-05,"1/2

#Stockholm50 : Environment PS @Kiptoock met with the Swedish Deputy Minister of Climate and Environment H.E. Anders Gronvall at the Government Offices. The PS led the Kenyan delegation to the second Planning Mission of @StockholmPlus50

@Environment_Ke
@KenyaEmbassySE"
2022-04-05,"C.S Amb. Raychelle Omamo met with H.E Mrs. Liesje Schreinermacher, Minister for Foreign Trade and Development of the Netherlands. The two reaffirmed longstanding bilateral ties and cooperation with Kenya in areas of agriculture which C.S said was key to Kenya food security."
2022-04-05,"On his official visit to Dublin 🇮🇪 PS @AmbMKamau accompanied by Amb. Mubea, paid a courtesy call to Mr. Joe Hackett, Secretary General Department of Foreign Affairs. Discussions centered around strengthening Kenya/ Ireland engagement on both bilateral and multilateral levels."
2022-04-04,"PS @AmbMKamau and Hon. Leslie Campbell, Minister of State in the Ministry of Foreign Affairs and Foreign Trade of Jamaica held bilateral talks on increasing cooperation between the two African nations; including on Blue Economy and exchange of best practices in various industries"
2022-04-04,"PS @AmbMKamau and Kenya's  Amb to Ireland Michael Mubea met with H.E Marta Lucía Ramírez, Vice President and Minister of Foreign Affairs of Colombia at the margins of #GDSdublin. They discussed ways of deepening ties between the two countries for the mutual benefit of the people."
2022-04-04,"""We need to ask ourselves: What is it about African Migration that is so antithetical to many Governments and non African people around the world?"" @AmbMKamau @GDSdublin #GDSdublin"
2022-04-04,"@AmbMKamau reiterated that migration has always been a natural, spontaneous event that has taken place since time immemorial. It is therefore a great tragedy that in recent times there has been an emergence of protectionist and restrictive migration policies that are punitive."
2022-04-04,"PS Foreign Affairs Amb Macharia Kamau in the company of Amb. Michael Mubea and Amb. Ogego, are attending the Global Diaspora Summit in Dublin  #GDSdublin"
2022-04-04,https://t.co/D5hoGs9sUF
2022-04-03,Kenya stand in solidarity with the people of Somaliland.
2022-04-03,"PS Amb Macharia Kamau is in Dublin for the Global Diaspora Summit 2022 #GDSdublin
The PS, in the company of Amb. Michael Mubea hosted a working dinner with Kenyans living in Ireland in an effort to promote Diaspora engagement."
2022-04-02,"PS @AmbMKamau met with Mr. Tiago Pitta e Cunha,CEO of the Oceano Azul Foundation as he wrapped up his official visit in Portugal. They discussed possible areas of Cooperation in marine science and education; partnerships in Ocean dialogue and the promise of leaving no one behind."
2022-04-02,"Defence CS Eugene Wamalwa, PS Dr.Ibrahim. Mohamed, VCDF Lt.Gen F. Ogola and Amb Nyambura Kamau,together with other senior officials are in Arusha for the 11th Joint EAC Sectoral Council meetings on Defence, Interstate -Security  and Foreign Policy Cordination."
2022-04-01,The 11th Advisory Committee Meeting towards the Preparations of the 2nd UN Ocean Conference took place today in Lisbon. 🇰🇪 and 🇵🇹 are ready to co-host the Conference whose overaching theme seeks to propel the much needed science based innovations around ocean action.
2022-04-01,"PS @AmbMKamau,Amb Peter Thomson UN Special Envoy on Oceans, Amb. Pedro Moitinho de Almeida, Chair of the Portuguese UN Ocean Conference Steering Committee are in Lisbon for the 11th Advisory meeting ahead of the 2nd UN Ocean Conference. The team toured Altice Arena venue of UNOC."
2022-04-01,"The discussions centered around deepening bilateral ties and working together to ensure, Climate Action Agenda and specifically SDG14 remains central in global conversations, underscoring that climate change remains the most imminent existential threat to the survival of mankind."
2022-04-01,"Foreign Affairs PS @AmbMKamau today paid a courtesy call to the Secretary of State for Foreign Affairs, Mr. Francisco Andre, during his official visit to Portugal ahead of the proposed state visit on the margins of #UNOC."
2022-03-31,"Foreign Affairs C.S Amb Raychelle Omamo today bid farewell to H.E Loh Sock Tiong, outgoing High Commissioner of Malaysia after his tour of duty. The C.S praised efforts made by the High Commissioner in promoting and developing mainly trade and investment between the two countries"
2022-03-31,"Foreign Affairs C.S Amb Raychelle Omamo bid farewell to Ms Luisa Fragoso,Head of Mission at Portugal Embassy. The C.S lauded the collaboration between 🇰🇪 and 🇵🇹 particularly in Blue Economy whereby Kenya and Portugal are co- hosting the Oceans Conference in Lisbon in June 2022."
2022-03-29,"2/2
.. who serves as Kenya’s focal point for Stockholm+50 &amp; Amb. Johanna Lissinger, Swedish Focal Point. It was agreed that @StockholmPlus50  provides a platform for Member States to renew their existing commitments for transformative and bold action to be accelerated."
2022-03-29,"1/2
Stockholm+50: On 29 March  the #Stockholm50 co-hosts, co-chairs and the UN team met to deliberate on the inputs shared in the preparatory meeting. The mtg was chaired by Amb. Njambi Kinyungu, Deputy PR for KMUN, Amb. Susan Mwangi, Director UN &amp; Multilateral Directorate ..."
2022-03-29,"2/2 The Cabinet Secretary called for the need to ensure that the leadership dialogues for Stockholm+50 carry forward the outcome of UNEA5.2 and UNEP@50 to ensure accelerated action is undertaken in the their implementation.

@StockholmPlus50
@UNEP
@Environment_Ke"
